Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 66.09, -0.07,-0.11, 5069675, -.1,
ADBE, Adobe Systems Incorporated, 156.31, -0.56,-0.36, 1763413, -.2,
AKAM, Akamai Technologies Inc., 46.8, 0.33,0.71, 1306436, .1,
ALXN, Alexion Pharmaceuticals Inc., 144.07, 1.14,0.8, 1957670, .2,
GOOG, Alphabet Inc., 932.07, 2.99,0.32, 1134250, .9,
GOOGL, Alphabet Inc., 946.65, 3.36,0.36, 1284615, .9,
AMZN, Amazon.com Inc., 982.58, 4.62,0.47, 2477732, 1.9,
AAL, American Airlines Group Inc., 46.29, 0.43,0.94, 6324514, .2,
AMGN, Amgen Inc., 191, 4.51,2.42, 3894072, 2.9,
ADI, Analog Devices Inc., 82.15, -0.07,-0.09, 2657200, .0,
AAPL, Apple Inc., 160.86, -0.64,-0.4, 71644431, -2.9,
AMAT, Applied Materials Inc., 45.65, 0.07,0.15, 7234426, .1,
ADSK, Autodesk Inc., 116.16, -0.32,-0.27, 1607028, -.1,
ADP, Automatic Data Processing Inc., 107.92, 0.42,0.39, 3076302, .2,
BIDU, Baidu Inc., 237.6, 4.1,1.76, 2412068, 1.0,
BIIB, Biogen Inc., 329.69, 3.15,0.96, 1045577, .6,
BMRN, BioMarin Pharmaceutical Inc., 91.91, 1.55,1.72, 1220916, .2,
AVGO, Broadcom Limited, 247.14, -0.6,-0.24, 1840384, -.2,
CA, CA Inc., 33.55, 0.14,0.42, 1006246, .1,
CELG, Celgene Corporation, 142.07, 1.15,0.82, 2236222, .8,
CERN, Cerner Corporation, 70.98, 0.49,0.7, 1659308, .1,
CHTR, Charter Communications Inc., 381.57, 0.56,0.15, 2719881, .1,
CHKP, Check Point Software Technologies Ltd., 112.35, -0.35,-0.31, 564742, -.1,
CTAS, Cintas Corporation, 134.68, -0.32,-0.24, 422732, .0,
CSCO, Cisco Systems Inc., 32.41, 0.22,0.68, 18923132, 1.0,
CTXS, Citrix Systems Inc., 76.5, 0.22,0.29, 1512507, .0,
CTSH, Cognizant Technology Solutions Corporation, 72.84, 0.66,0.91, 2854475, .3,
CMCSA, Comcast Corporation, 37.9, 0.07,0.19, 36772728, .3,
COST, Costco Wholesale Corporation, 160.04, 2.68,1.7, 2988258, 1.0,
CSX, CSX Corporation, 51.92, -0.15,-0.29, 4385153, -.1,
CTRP, Ctrip.com International Ltd., 52.38, -0.08,-0.15, 3299038, .0,
XRAY, DENTSPLY SIRONA Inc., 59.44, 0.2,0.34, 1460079, .0,
DISCA, Discovery Communications Inc., 21, 0.2,0.96, 6402954, .0,
DISCK, Discovery Communications Inc., 19.77, 0.15,0.76, 4185795, .0,
DISH, DISH Network Corporation, 54.59, 0.03,0.05, 1304257, .0,
DLTR, Dollar Tree Inc., 83.98, 0.58,0.7, 1655813, .1,
EBAY, eBay Inc., 38.18, 0.09,0.24, 4259661, .1,
EA, Electronic Arts Inc., 120.41, -0.78,-0.64, 2659351, -.2,
EXPE, Expedia Inc., 145.36, 1.24,0.86, 1237692, .2,
ESRX, Express Scripts Holding Company, 62.64, -1.03,-1.62, 4313062, -.5,
FB, Facebook Inc., 172.96, -0.55,-0.32, 11182098, -1.1,
FAST, Fastenal Company, 43.55, 0.59,1.37, 1623550, .2,
FISV, Fiserv Inc., 124.58, 0.26,0.21, 525100, .1,
GILD, Gilead Sciences Inc., 84.51, -0.01,-0.01, 8892817, .0,
HAS, Hasbro Inc., 94.92, -0.88,-0.92, 1682413, -.1,
HSIC, Henry Schein Inc., 175.92, -1.65,-0.93, 656203, -.1,
HOLX, Hologic Inc., 38.19, -1.01,-2.58, 4420049, -.3,
IDXX, IDEXX Laboratories Inc., 158.98, -1.25,-0.78, 234585, -.1,
ILMN, Illumina Inc., 213.93, 1.69,0.8, 955027, .2,
INCY, Incyte Corporation, 123.15, -1.8,-1.44, 2217919, -.3,
INTC, Intel Corporation, 36.09, 0.32,0.89, 19489722, 1.3,
INTU, Intuit Inc., 142.38, -0.26,-0.18, 1787892, -.1,
ISRG, Intuitive Surgical Inc., 1045, -0.48,-0.05, 196726, .0,
JBHT, J.B. Hunt Transport Services Inc., 101.59, 0.09,0.09, 531084, .0,
JD, JD.com Inc., 43.29, 1.25,2.97, 14163194, 1.0,
KLAC, KLA-Tencor Corporation, 97.95, 0.78,0.8, 847150, .1,
LRCX, Lam Research Corporation, 171.67, 2.16,1.27, 1688710, .3,
LBTYA, Liberty Global plc, 32.7, 0.63,1.96, 2298002, .1,
LBTYK, Liberty Global plc, 31.89, 0.85,2.74, 2868814, .5,
LILA, Liberty Global plc, 25.43, -0.19,-0.74, 279925, .0,
LILAK, Liberty Global plc, 25.13, -0.09,-0.36, 375807, .0,
LVNTA, Liberty Interactive Corporation, 59.67, 0.51,0.86, 683165, .0,
QVCA, Liberty Interactive Corporation, 23.19, 0.49,2.16, 2424995, .2,
MAR, Marriott International, 105.08, 0.45,0.43, 1269203, .2,
MAT, Mattel Inc., 15.7, 0.12,0.77, 5082921, .0,
MXIM, Maxim Integrated Products Inc., 46.64, 0.12,0.26, 1289274, .0,
MELI, MercadoLibre Inc., 290.79, 5.53,1.94, 1106124, .2,
